acode_index,url,country,full_date,month,name,sport,year
954,http://services.datasport.com/2009/diverse/trophy,CCH,Sat 20.06.2009,6,"Engelbergertal Trophy, Engelberg",Running,2009
955,http://services.datasport.com/2009/lauf/Greifenseelauf,CCH,Sat 19.09.2009,9,"Int Greifenseelauf, Uster",Running,2009
956,http://services.datasport.com/2009/lauf/YverdonNoel,CCH,Sun 29.11.2009,11,"Course de l'Avent, Yverdon",Running,2009
957,http://services.datasport.com/2009/lauf/aegeri,CCH,Fri 24.07.2009,7,"Aegeriseelauf, Oberägeri",Running,2009
958,http://services.datasport.com/2009/lauf/altstaeter,CCH,Sat 12.09.2009,9,Altstätter Städtlilauf,Running,2009
959,http://services.datasport.com/2009/lauf/appenzellerlauf,CCH,Sat 20.06.2009,6,"Appenzellerlauf, Appenzell",Running,2009
960,http://services.datasport.com/2009/lauf/arosa,CCH,Sat 10.01.2009,1,"Swiss Snow Walk & Run, Arosa",Running,2009
961,http://services.datasport.com/2009/lauf/baden,CCH,Sat 28.03.2009,3,"Badener Limmat-Lauf, Baden",Running,2009
962,http://services.datasport.com/2009/lauf/baldegger,CCH,Sat 06.06.2009,6,"Baldeggerseelauf, Hitzkirch",Running,2009
963,http://services.datasport.com/2009/lauf/basel,CCH,Sat 28.11.2009,11,Basler Stadtlauf,Running,2009
964,http://services.datasport.com/2009/lauf/biel,CCH,Fri 12.06.2009+Sat 13.06.2009,6,"Bieler Lauftage, Biel/Bienne",Running,2009
965,http://services.datasport.com/2009/lauf/bielercross,CCH,Sun 29.11.2009,11,"Int. Bieler Cross, Biel-Bienne",Running,2009
966,http://services.datasport.com/2009/lauf/birslauffr,CCH,Sat 04.04.2009,4,Birslauf Basel,Running,2009
967,http://services.datasport.com/2009/lauf/birslaufhe,CCH,Sat 05.09.2009,9,"Birslauf (Herbst), Basel",Running,2009
968,http://services.datasport.com/2009/lauf/bischofszell,CCH,Sat 02.05.2009,5,"Bischofszeller Städtlilauf, Bischofszell",Running,2009
969,http://services.datasport.com/2009/lauf/blenio,CCH,Mon 13.04.2009,4,"Giro Media Blenio, Dongio",Running,2009
970,http://services.datasport.com/2009/lauf/bluemlisalp,CCH,Sun 31.05.2009,5,"Blüemlisalp-Lauf, Reichenbach",Running,2009
971,http://services.datasport.com/2009/lauf/bremgarten,CCH,Sun 18.10.2009,10,"Bremgartenlauf, Bremgarten b.Bern",Running,2009
972,http://services.datasport.com/2009/lauf/brienzer,CCH,Sun 11.10.2009,10,"Brienzerseelauf, Bönigen",Running,2009
973,http://services.datasport.com/2009/lauf/buendner,CCH,Sat 25.04.2009,4,"Bündner Frühlingslauf, Domat / Ems",Running,2009
974,http://services.datasport.com/2009/lauf/bueren,CCH,Sat 17.10.2009,10,"Bürenlauf, Büren an der Aare",Running,2009
975,http://services.datasport.com/2009/lauf/burgdorf,CCH,Sat 12.09.2009,9,"Burgdorfer Stadtlauf, Burgdorf",Running,2009
976,http://services.datasport.com/2009/lauf/burgherbst,CCH,Sat 24.10.2009,10,Herbstlauf Burgdorf,Running,2009
977,http://services.datasport.com/2009/lauf/carouge,CCH,Sat 26.09.2009,9,A travers Carouge - Run to Run,Running,2009
978,http://services.datasport.com/2009/lauf/chlaus,CCH,Sat 05.12.2009,12,Chlauslauf Niederrohrdorf,Running,2009
979,http://services.datasport.com/2009/lauf/chur,CCH,Fri 05.06.2009,6,Churer Lauf Parade,Running,2009
980,http://services.datasport.com/2009/lauf/corrida,CCH,Sat 21.11.2009,11,"Corrida Bulloise, Bulle",Running,2009
981,http://services.datasport.com/2009/lauf/crossrun,CCH,Sun 10.05.2009,5,"crossrun, Therwil",Running,2009
982,http://services.datasport.com/2009/lauf/cuorsadilrein,CCH,Sun 07.06.2009,6,"La Cuorsa dil Rein, Disentis",Running,2009
983,http://services.datasport.com/2009/lauf/defi,CCH,Sat 20.06.2009,6,"Défi Val-de-Travers, Couvet",Running,2009
984,http://services.datasport.com/2009/lauf/derendingen,CCH,Fri 26.06.2009,6,"Derendinger Abendlauf, Derendingen",Running,2009
985,http://services.datasport.com/2009/lauf/dreilaender,CCH,Sun 17.05.2009,5,"Dreiländer-Lauf, Basel",Running,2009
986,http://services.datasport.com/2009/lauf/eiken,CCH,Sat 11.04.2009,4,"GP Fricktal, Eiken",Running,2009
987,http://services.datasport.com/2009/lauf/emme,CCH,Wed 19.08.2009,8,Emmenlauf Utzenstorf,Running,2009
988,http://services.datasport.com/2009/lauf/engadin,CCH,Sun 23.08.2009,8,"Engadiner Sommerlauf, Samedan",Running,2009
989,http://services.datasport.com/2009/lauf/escalade,CCH,Sat 05.12.2009,12,"Course de l'Escalade, Genève",Running,2009
990,http://services.datasport.com/2009/lauf/fitevent,CCH,Sun 30.08.2009,8,Run&Walk Event Rothenburg,Running,2009
991,http://services.datasport.com/2009/lauf/flaeckelauf,CCH,Sat 16.05.2009,5,Fläckelauf Beromünster,Running,2009
992,http://services.datasport.com/2009/lauf/frauenfeld,CCH,Sat 29.08.2009,8,Frauenfelder Stadtlauf,Running,2009
993,http://services.datasport.com/2009/lauf/frauenlauf,CCH,Sun 14.06.2009,6,Schweizer Frauenlauf Bern,Running,2009
994,http://services.datasport.com/2009/lauf/gantrisch,CCH,Sat 19.09.2009,9,"Gantrisch-Halbmarathon, Plaffeien-Gurnigel",Running,2009
995,http://services.datasport.com/2009/lauf/gempen,CCH,Wed 03.06.2009,6,"Gempenlauf, Dornach",Running,2009
996,http://services.datasport.com/2009/lauf/gersau,CCH,Thu 31.12.2009,12,Silvesterlauf Gersau,Running,2009
997,http://services.datasport.com/2009/lauf/gippingen,CCH,Thu 31.12.2009,12,Gippinger Stauseelauf,Running,2009
998,http://services.datasport.com/2009/lauf/glacier3000,CCH,Sat 08.08.2009,8,"Glacier 3000 Run, Gstaad",Running,2009
999,http://services.datasport.com/2009/lauf/glarus,CCH,Sat 24.10.2009,10,"Glarner Stadtlauf, Glarus",Running,2009
1000,http://services.datasport.com/2009/lauf/gletscherlauf,CCH,Sun 28.06.2009,6,"Aletsch-Halbmarathon, Bettmeralp",Running,2009
1001,http://services.datasport.com/2009/lauf/gossau,CCH,Sat 05.12.2009,12,Gossauer Weihnachtslauf,Running,2009
1002,http://services.datasport.com/2009/lauf/grmarathon,CCH,Sat 27.06.2009+Sun 28.06.2009,6,"Graubünden Marathon/Walking, Lenzerheide",Running,2009
1003,http://services.datasport.com/2009/lauf/gurten,CCH,Sun 01.11.2009,11,"Gurtenclassic, Wabern",Running,2009
1004,http://services.datasport.com/2009/lauf/hallwil,CCH,Sat 10.10.2009,10,"Hallwilerseelauf, Beinwil am See",Running,2009
1005,http://services.datasport.com/2009/lauf/jmprolog,CCH,Fri 04.09.2009,9,"Jungfrau Minirun + Minimarathon, Interlaken",Running,2009
1006,http://services.datasport.com/2009/lauf/jungfrau,CCH,Sat 05.09.2009,9,"Jungfrau-Marathon, Interlaken",Running,2009
1007,http://services.datasport.com/2009/lauf/kehrsatz,CCH,Sat 04.04.2009,4,"Chäsitzerlouf, Kehrsatz",Running,2009
1008,http://services.datasport.com/2009/lauf/kerzers,CCH,Sat 21.03.2009,3,Kerzerslauf,Running,2009
1009,http://services.datasport.com/2009/lauf/km20,CCH,Sat 25.04.2009,4,20km de Lausanne,Running,2009
1010,http://services.datasport.com/2009/lauf/kyburg,CCH,Sat 07.11.2009,11,"Kyburglauf, Kyburg",Running,2009
1011,http://services.datasport.com/2009/lauf/lamara,CCH,Sun 25.10.2009,10,Lausanne Marathon,Running,2009
1012,http://services.datasport.com/2009/lauf/langenthal,CCH,Sat 21.11.2009,11,Langenthaler Stadtlauf,Running,2009
1013,http://services.datasport.com/2009/lauf/laufen,CCH,Sun 23.08.2009,8,10-Meilen Laufen,Running,2009
1014,http://services.datasport.com/2009/lauf/lburger,CCH,Sat 23.05.2009,5,Lenzburger Lauf,Running,2009
1015,http://services.datasport.com/2009/lauf/leysin,CCH,Sat 12.12.2009,12,"Swiss Snow Walk & Run, Leysin",Running,2009
1016,http://services.datasport.com/2009/lauf/liestal,CCH,Wed 26.08.2009,8,Liestaler Stadtlauf,Running,2009
1017,http://services.datasport.com/2009/lauf/lucernemarathon,CCH,Sun 25.10.2009,10,"Lucerne Marathon, Luzern",Running,2009
1018,http://services.datasport.com/2009/lauf/lugano,CCH,Sun 19.04.2009,4,Walking Lugano,Running,2009
1019,http://services.datasport.com/2009/lauf/luzern,CCH,Sat 25.04.2009,4,Luzerner Stadtlauf,Running,2009
1020,http://services.datasport.com/2009/lauf/maennlichen,CCH,Sun 21.06.2009,6,"Männlichen Halbmarathon, Grindelwald",Running,2009
1021,http://services.datasport.com/2009/lauf/mandement,CCH,Sat 29.08.2009,8,"Course du Mandement, Satigny",Running,2009
1022,http://services.datasport.com/2009/lauf/matterhorn,CCH,Sat 22.08.2009+Sun 23.08.2009,8,"Internationaler Matterhornlauf, Zermatt",Running,2009
1023,http://services.datasport.com/2009/lauf/midnight,CCH,Sat 19.12.2009,12,"Christmas Midnight Run, Lausanne",Running,2009
1024,http://services.datasport.com/2009/lauf/minitrotteuse,CCH,Sat 16.05.2009,5,"Mini-Trotteuse, La Chaux-de-Fonds",Running,2009
1025,http://services.datasport.com/2009/lauf/mmc,CCH,Sat 05.09.2009,9,Mountain Marathon Cup,Running,2009
1026,http://services.datasport.com/2009/lauf/montreux,CCH,Sun 12.07.2009,7,Montreux - Les Rochers de Naye,Running,2009
1027,http://services.datasport.com/2009/lauf/morat,CCH,Sat 03.10.2009+Sun 04.10.2009,10,Morat-Fribourg,Running,2009
1028,http://services.datasport.com/2009/lauf/muensingen,CCH,Sat 08.08.2009,8,"Münsiger-Louf, Münsingen",Running,2009
1029,http://services.datasport.com/2009/lauf/murilauf,CCH,Sun 28.06.2009,6,"Murilauf, Muri b. Bern",Running,2009
