,catégorie,rang,nom,an,temps
0,K7,17.0,M0l,,1900-01-01 00:19:24.700000
1,MH4,160.0,Maa,,1900-01-01 04:18:40.300000
2,SH2,388.0,Mab,,1900-01-01 01:54:40.500000
3,MH2,430.0,Mab,,1900-01-01 04:37:45.700000
4,SD2,43.0,Mab,,1900-01-01 01:46:42.500000
5,K7,1.0,Mab,,1900-01-01 00:16:57.200000
6,SH3,175.0,Mac,,1900-01-01 01:40:55.300000
7,K7,85.0,Mac,,1900-01-01 00:28:08.700000
8,K1,13.0,Mac,,1900-01-01 00:19:38.100000
9,QH2,11.0,Mac,,1900-01-01 00:35:16.800000
10,K1,72.0,Mac,,1900-01-01 00:24:51.600000
11,SH1,71.0,Mae,,1900-01-01 01:31:46.600000
12,RD,44.0,Mae,,1900-01-01 01:18:14.700000
13,QD4,15.0,Mae,,1900-01-01 00:57:02.200000
14,MH2,297.0,Mae,,1900-01-01 03:45:13
15,SH2,117.0,Mae,,1900-01-01 01:29:22.300000
16,K7,80.0,Mag,,1900-01-01 00:27:40.500000
17,SH4,185.0,Mag,,1900-01-01 01:57:09.300000
18,SH4,157.0,Mag,,1900-01-01 01:51:30.700000
19,QD2,18.0,Mag,,1900-01-01 00:47:06.400000
20,MH2,395.0,Mag,,1900-01-01 04:10:58.400000
21,MH1,136.0,Mag,,1900-01-01 04:11:03.400000
22,K3,69.0,Mag,,1900-01-01 00:19:26.200000
23,SH1,45.0,Mag,,1900-01-01 01:27:47.600000
24,K8,26.0,Mag,,1900-01-01 00:20:27.200000
25,SH1,193.0,Mag,,1900-01-01 02:01:47.300000
26,SH2,348.0,Mag,,1900-01-01 01:49:07.100000
27,RD,53.0,Mag,,1900-01-01 01:28:36.800000
28,K8,27.0,Mag,,1900-01-01 00:20:28.100000
29,MD2,36.0,Mah,,1900-01-01 03:52:34.600000
30,SH4,70.0,Mah,,1900-01-01 01:40:35
31,K3,97.0,Mai,,1900-01-01 00:21:24.700000
32,K3,17.0,Mai,,1900-01-01 00:16:58.100000
33,SD4,34.0,Mai,,1900-01-01 02:24:22.700000
34,SH2,29.0,Mai,,1900-01-01 01:19:38.700000
35,K1,35.0,Mai,,1900-01-01 00:21:28.100000
36,MH2,52.0,Mai,,1900-01-01 02:59:00.600000
37,SD1,57.0,Mai,,1900-01-01 01:58:54.300000
38,RH,23.0,Mai,,1900-01-01 00:44:34.400000
39,MH2,193.0,Mai,,1900-01-01 03:27:46.100000
40,SH3,376.0,Mai,,1900-01-01 02:06:30.800000
41,SD2,114.0,Mai,,1900-01-01 02:06:31.800000
42,SD1,69.0,Mai,,1900-01-01 02:05:21
43,SH2,19.0,Mai,,1900-01-01 01:16:07.300000
44,RJG,9.0,Mai,,1900-01-01 00:54:41.200000
45,QD2,48.0,Mai,,1900-01-01 00:52:20.100000
46,MH3,40.0,Mai,,1900-01-01 03:09:29.500000
47,SH3,35.0,Mai,,1900-01-01 01:26:05.900000
48,SH1,69.0,Mai,,1900-01-01 01:31:38.400000
49,MD4,28.0,Mak,,1900-01-01 05:14:35.600000
50,SH3,389.0,Mak,,1900-01-01 02:11:16
51,SH2,255.0,Mak,,1900-01-01 01:39:32.100000
52,SD2,70.0,Mak,,1900-01-01 01:56:20
53,MH2,110.0,Mal,,1900-01-01 03:12:07.500000
54,QD2,113.0,Mal,,1900-01-01 00:57:49.700000
55,K1,66.0,Mal,,1900-01-01 00:24:02.200000
56,SH3,200.0,Mal,,1900-01-01 01:42:52.800000
57,MD2,2.0,Mal,,1900-01-01 02:38:33.700000
58,MH2,375.0,Mal,,1900-01-01 04:02:30.600000
59,MH2,209.0,Mal,,1900-01-01 03:29:25.600000
60,MD4,23.0,Mam,,1900-01-01 04:47:51.500000
61,QD2,78.0,Man,,1900-01-01 00:54:30.700000
62,QD1,66.0,Man,,1900-01-01 00:51:32.500000
63,SH3,324.0,Man,,1900-01-01 01:54:18.700000
64,MH3,46.0,Man,,1900-01-01 03:11:30
65,QH2,21.0,Man,,1900-01-01 00:37:01.700000
66,MH4,91.0,Man,,1900-01-01 03:50:54.800000
67,MH4,124.0,Man,,1900-01-01 04:03:21.500000
68,QH2,223.0,Man,,1900-01-01 00:52:57.200000
69,MH1,134.0,Man,,1900-01-01 04:09:39.800000
70,K7,42.0,Man,,1900-01-01 00:21:54.700000
71,QD4,38.0,Man,,1900-01-01 01:47:41.900000
72,QH2,231.0,Man,,1900-01-01 00:54:06.800000
73,SH2,136.0,Man,,1900-01-01 01:31:13.100000
74,MH2,187.0,Man,,1900-01-01 03:27:01.300000
75,SH2,240.0,Man,,1900-01-01 01:38:27.200000
76,QH2,121.0,Man,,1900-01-01 00:45:47.600000
77,SH3,131.0,Mar,,1900-01-01 01:36:42.200000
78,QH1,23.0,Mar,,1900-01-01 00:38:07.400000
79,MH3,41.0,Mar,,1900-01-01 03:09:33.900000
80,SD3,63.0,Mar,,1900-01-01 01:57:55.200000
81,SH3,141.0,Mar,,1900-01-01 01:37:33.900000
82,QH2,267.0,Mar,,1900-01-01 00:59:55.300000
83,QH1,34.0,Mar,,1900-01-01 00:39:08.800000
84,MH3,244.0,Mar,,1900-01-01 03:48:28.300000
85,QH3,197.0,Mar,,1900-01-01 01:06:45.300000
86,QD1,145.0,Mar,,1900-01-01 01:06:41.700000
87,SH3,119.0,Mar,,1900-01-01 01:36:02.800000
88,QH4,43.0,Mar,,1900-01-01 00:49:52.900000
89,K4,19.0,Mar,,1900-01-01 00:16:44.800000
90,QD1,102.0,Mar,,1900-01-01 00:57:21.300000
91,MH2,447.0,Mar,,1900-01-01 05:28:38.600000
92,MH2,322.0,Mar,,1900-01-01 03:49:46.300000
93,K3,8.0,Mar,,1900-01-01 00:16:11.500000
94,QD2,102.0,Mar,,1900-01-01 00:57:12
95,QH4,32.0,Mar,,1900-01-01 00:48:32
96,RH,130.0,Mar,,1900-01-01 01:08:44.500000
97,QD2,22.0,Mar,,1900-01-01 00:49:08.600000
98,MH4,58.0,Mar,,1900-01-01 03:37:08
99,SH3,313.0,Mar,,1900-01-01 01:52:39.400000
100,SH2,220.0,Mar,,1900-01-01 01:36:52.600000
101,SH3,369.0,Mar,,1900-01-01 02:03:47.300000
102,QD1,27.0,Mar,,1900-01-01 00:46:00.100000
103,SH1,23.0,Mar,,1900-01-01 01:21:40.100000
104,SH3,114.0,Mar,,1900-01-01 01:35:47.700000
105,QH2,261.0,Mar,,1900-01-01 00:58:52.500000
106,SH2,392.0,Mar,,1900-01-01 01:55:51.700000
107,K2,113.0,Mar,,1900-01-01 00:26:29.100000
108,QD3,61.0,Mar,,1900-01-01 00:58:08.200000
109,QH3,167.0,Mar,,1900-01-01 00:55:24.200000
110,K3,78.0,Mar,,1900-01-01 00:19:43.400000
111,K6,19.0,Mar,,1900-01-01 00:21:55
112,QH3,177.0,Mar,,1900-01-01 00:57:14.200000
113,K6,45.0,Mar,,1900-01-01 00:28:27.500000
114,K3,102.0,Mar,,1900-01-01 00:21:52.400000
115,RJF,7.0,Mar,,1900-01-01 01:11:47.700000
116,MH3,368.0,Mar,,1900-01-01 04:36:31.600000
117,K3,31.0,Mar,,1900-01-01 00:17:54.300000
118,QH3,52.0,Mar,,1900-01-01 00:43:28
119,SD2,106.0,Mar,,1900-01-01 02:02:40.300000
120,K1,83.0,Mar,,1900-01-01 00:26:17.200000
121,MH2,137.0,Mar,,1900-01-01 03:19:18.500000
122,MH3,166.0,Mar,,1900-01-01 03:34:12.800000
123,SD2,66.0,Mar,,1900-01-01 01:55:28.300000
124,MH3,77.0,Mar,,1900-01-01 03:19:33.500000
125,SH4,113.0,Mar,,1900-01-01 01:45:18.400000
