acode,catRank,categoryName,entryArt,entryPayart,eventDate,eventName,eventRaceNr,overCategoryName,overRank,provider,raceNr,racePayload,resultState,runtime,startNumber
LHB8QSM5,174,Semi Dames III,payé,poste/banque,31.10.2010,Lausanne Marathon,D32CE53389FBC48DA5A299AD88EF507F,Semi Marathon Dames,549,Datasport,12110,A9946627764916E7A546287C02CAF250B9C37B40A76428C3F90CA81A62E46D12,classé,"2:00.32,9",4510
A8L97QG7,41,20km H60 Hommes,payé,BVR,24.04.2010,20km de Lausanne,65B4F931D947828EBDA1D5E2A70F91B4,20km Overall Hommes,1940,Datasport,12102,3ADFE6008C38E514066198A8D350D39DD21D6E649A80E697FAD19B039E4F619F,classé,"1:54.36,8",2501
A8L97QG7,115,Marathon Hommes IV,payé,BVR,25.10.2009,Lausanne Marathon,A6281A6FD50821D6A90BF39F7D9CDADD,Marathon Hommes,791,Datasport,11110,721103B8B78B8D536850377EA409944B57E55B0247B14B6CFC436A6CEA8B9920,classé,"4:07.55,8",1362
A8L97QG7,71,Marathon Hommes 4,payé,en ligne,10.05.2009,Genève Marathon for UNICEF,D8C73121FC8EEF4562909F6C5CBE1259,Overall Marathon Hommes,492,Datasport,11934,3E4F1A05C8F23F34A814EE78B795235863EA6340B58B9FE631DFE31816EB22B5,classé,"4:04.47,6",821
A8L97QG7,69,20km H55 Hommes,payé,BVR,25.04.2009,20km de Lausanne,25C279441B2CE5123EB70E23E86D80C8,20km Overall Hommes,1823,Datasport,11102,B5E7077A0A79F19B6877C26AF586F5987E13E32046AA71D53560F8EFCE2F3F06,classé,"1:54.54,6",1670
A8L97QG7,107,Marathon Hommes IV,payé,,26.10.2008,Lausanne Marathon,238AAC75646634C9E66FD248A9FB9D32,Marathon Hommes,670,Datasport,10110,44B820E76B8674B8932DD6F82CA3E89001F2255C0CC87812D6D972A40B891567,classé,"4:02.02,8",985
A8L97QG7,207,Hommes M55,payé,,04.10.2008,Morat-Fribourg,0F050AAB6D26133718FC811C0F4BF48B,Overall Hommes,3756,Datasport,10109,F1B4D5826E8B3F52934395C3D2B9CF40D81A7A93541CB7F06EA5DAC5EC38B95F,classé,"1:37.28,3",5213
A8L97QG7,45,Marathon Hommes 4,payé,,28.09.2008,Genève Marathon,30C4686B3387710BF12D29305B2AE089,Overall Marathon Hommes,360,Datasport,10934,C9B5F623B992189D2C05725B39C7ADD531DCE2E694FA15BC5F7A11E38F6CAFCB,classé,"3:58.32,9",352
A8L97QG7,196,Männer 55,payé,,06.09.2008,"Jungfrau-Marathon, Interlaken",CE6066DE91806F0C7A7091EAAD26D27C,Overall Männer,2563,Datasport,10106,42FDD2044A71F1B03C47C9E29B7A8D4328162C7F949F271DECDBD77E5DE591FB,classé,"5:54.19,9",2619
A8L97QG7,61,Männer M55,payé,,05.07.2008,"Zermatt Marathon, Zermatt",E96F3208EAADFE83DA88954567A5D803,Overall Männer,653,Datasport,10196,84081B68BCDABB04630B96846884CAD53A5CFB5CAD826B08E143E71E72AEBD03,classé,"6:00.07,9",541
A8L97QG7,75,20km H55 Hommes,payé,,26.04.2008,20km de Lausanne,5188F17C8C70842D966476D7F68C0866,Overall Hommes 20km,1729,Datasport,10102,D9E1E7DD7A1863E6D8BF0BE913615B0BF6F7B2E492F333E59DA39B533140CD89,classé,"1:55.26,8",1550
A8L97QG7,112,Marathon Hommes IV,payé,,21.10.2007,Lausanne Marathon,A506D2BA9127118D0B0781D4F9DEB507,Marathon Hommes,794,Datasport,9110,8F57C3D9A5AD5179DC19C418C39183E129CDD309AB8F3C609F7138DD701D6C60,classé,"4:02.25,6",1027
A8L97QG7,69,Männer M55,payé,,07.07.2007,"Zermatt Marathon, Zermatt",E4F2900BCA629725EBB4E63A823D7072,Overall Männer,676,Datasport,9196,F02A00AA4D6FE1C8AB8FA860D752518ED554D7826DF2615AFE0B100C6D63A9CF,classé,"6:16.25,6",816
A8L97QG7,112,100-km-Lauf M55,payé,,15.06.2007,"Bieler Lauftage, Biel/Bienne",3BA7B06C9574ED4FD00E02384D55070E,100-km-Lauf Herren,1003,Datasport,9114,A3492A207B154C73640D2DB3A5085A48FB5C87775D8523B52439A5379693421F,classé,"16:39.34,6",1196
A8L97QG7,70,Marathon Hommes 4,payé,,06.05.2007,Genève Marathon,D213295826DB8C204C3A485074BF29F7,Overall Marathon Hommes,512,Datasport,9934,4DBBCCD72E12D9E51F58C9F62343B758794E09C60D6FF2A693D7E05C1B1F3200,classé,"4:04.34,3",533
A8L97QG7,64,20km H55 Hommes,payé,,28.04.2007,20km de Lausanne,CF51356B4A62390229D01D38D8C3DD83,Overall Hommes 20km,1363,Datasport,9102,BC75BC8959D857A2CC017318CEF4170CBA896D5E0915C5A5577BF29A503F15A9,classé,"1:48.22,2",3361
A8L97QG7,153,Men M55,payé,,01.04.2007,Zürich Marathon,A484FEA256289E1726BF1E6EFCE9A243,Overall Men,3303,Datasport,9913,3200E90BFF11FCF2297D5F0A1D40EFF7022B93C4A24B15C5271BF8C54510E85A,classé,"4:11.59,0",5311
A8L97QG7,111,Marathon Hommes IV,payé,,22.10.2006,Lausanne Marathon,51FB82AAC60B89AE339626F40C867A6A,Marathon Hommes,823,Datasport,8110,F6B4725A920C6C5D9FD39B1C684F7034DF8A20DD73B60C784085A887612E1568,classé,"4:02.53,8",1078
A8L97QG7,116,Männer 55,payé,,09.09.2006,"Jungfrau-Marathon, Interlaken",60FF2C3C54484BD07E6115B8F251E154,Männer,2103,Datasport,8106,FECD9E3F80DF245456EA9CB1DD1AAA18CDE96ABBB523C2787A40E625E7943556,classé,"5:34.48,8",2769
A8L97QG7,96,Männer 50-59 Jahre,payé,,19.08.2006,"Internationaler Matterhornlauf, Zermatt",91FD86697F75116810A68BC64ABB29AB,Overall Männer,447,Datasport,8195,C2DABEE303B7886BBC0B55470CFBA01C00DBE3B008F1D678D3A22FDB8ABBB5D7,classé,"1:51.03,5",743
A8L97QG7,32,Männer M55,payé,,08.07.2006,"Zermatt Marathon, Zermatt",7ACC68FEF61F71E9130D90291E475800,Overall Männer,487,Datasport,8196,57AD9937A5250C45AE728A8239288AB66DA2589D5B910313108A642EEA90DDAB,classé,"6:04.36,1",464
