Speed (m/s),count,10km count,42km count,21km count,female count,male count
1.6072248584111435,1,0.0,0.0,1.0,0.0,1.0
1.6150740242261103,1,0.0,1.0,0.0,0.0,1.0
1.6929067208396817,1,1.0,0.0,0.0,1.0,0.0
1.711630939766892,1,0.0,1.0,0.0,0.0,1.0
1.7670966601873122,1,1.0,0.0,0.0,1.0,0.0
1.7727502954583825,1,0.0,0.0,1.0,0.0,1.0
1.781094949323608,1,0.0,1.0,0.0,0.0,1.0
1.7998560115190785,1,1.0,0.0,0.0,0.0,1.0
1.802729848055627,1,0.0,1.0,0.0,0.0,1.0
1.8258170531312763,1,1.0,0.0,0.0,1.0,0.0
1.827485380116959,1,1.0,0.0,0.0,1.0,0.0
1.8278194114421495,1,1.0,0.0,0.0,0.0,1.0
1.8412815319462346,1,1.0,0.0,0.0,1.0,0.0
1.8416206261510129,1,1.0,0.0,0.0,1.0,0.0
1.841959845275373,1,1.0,0.0,0.0,1.0,0.0
1.8424284962274082,1,0.0,0.0,1.0,0.0,1.0
1.885014137606032,1,0.0,1.0,0.0,1.0,0.0
1.8850987432675046,1,0.0,1.0,0.0,0.0,1.0
1.8917896329928112,1,1.0,0.0,0.0,0.0,1.0
1.8921475875118259,1,1.0,0.0,0.0,1.0,0.0
1.8924886225386384,1,0.0,1.0,0.0,0.0,1.0
1.893580761219466,1,1.0,0.0,0.0,0.0,1.0
1.8982192895236374,1,0.0,0.0,1.0,1.0,0.0
1.9035532994923858,1,0.0,0.0,1.0,0.0,1.0
1.9036740909956216,1,1.0,0.0,0.0,1.0,0.0
1.905850962454736,1,1.0,0.0,0.0,1.0,0.0
1.9098548510313216,1,1.0,0.0,0.0,0.0,1.0
1.9219680953296174,1,1.0,0.0,0.0,1.0,0.0
1.9250160418003484,2,0.0,1.0,1.0,2.0,0.0
1.9306794152799485,1,0.0,1.0,0.0,0.0,1.0
1.9315673289183224,1,0.0,0.0,1.0,1.0,0.0
1.9333456085435463,2,0.0,2.0,0.0,1.0,1.0
1.9457055498934495,1,0.0,1.0,0.0,1.0,0.0
1.9491368108409133,2,0.0,0.0,2.0,1.0,1.0
1.9650225977598743,1,1.0,0.0,0.0,1.0,0.0
1.9677292404565132,1,1.0,0.0,0.0,0.0,1.0
1.9696117051209905,1,0.0,0.0,1.0,1.0,0.0
